"rep","scenario","year","meanG_S1","varG_S1","genicVarA_S1","accuracy_S2","accuracy_cand","nCandidates","nParentsUsed","nCrossesUsed","nKept","Ft0","Ft1","dF1","propParents_S2","propCrosses_S2","propProgeny_S2","time"
22,"COMA_S4",1,0.00596388929524633,0.866934114849343,0.74147423281395,0.399157697254426,NA,NA,40,100,30,0,0.01,1,NA,NA,NA,NA
22,"COMA_S4",2,0.463230298714283,1.30591073026386,0.734606622368806,0.403641838859341,NA,NA,40,100,30,0,0.0075,0.75,NA,NA,NA,NA
22,"COMA_S4",3,0.853158668068729,1.2598913999036,0.73681506293343,0.399127918809644,NA,NA,40,100,30,0,0.03,3,NA,NA,NA,NA
22,"COMA_S4",4,1.17664961985018,1.49599218603846,0.74033848069538,0.430900580109338,NA,NA,40,100,30,0,0.04,4,NA,NA,NA,NA
22,"COMA_S4",5,2.1555680462899,0.587048543917949,0.704047037007105,0.434156013659316,NA,NA,40,100,30,0,0.05,5,NA,NA,NA,NA
22,"COMA_S4",6,2.17189286920861,0.570163821148853,0.693830000998213,0.447166461518211,NA,NA,40,100,30,0.00625000000000009,0.04125,3.52201257861634,NA,NA,NA,NA
22,"COMA_S4",7,2.51242175075798,0.682951713936306,0.696147989074603,0.367356342767239,NA,NA,40,100,30,0.01875,0.054375,3.63057324840764,NA,NA,NA,NA
22,"COMA_S4",8,2.50636736958019,0.621825262959534,0.687040294082697,0.363761810047697,NA,NA,40,100,30,0.0406250000000001,0.06125,2.14983713355048,NA,NA,NA,NA
22,"COMA_S4",9,2.89314344933995,0.701609769613525,0.672010324419825,0.398774396289027,NA,NA,40,100,30,0.0531250000000001,0.0653125,1.28712871287128,NA,NA,NA,NA
22,"COMA_S4",10,3.45345516803226,0.665208838233793,0.653131864496533,0.31892837520476,NA,NA,40,100,30,0.0718749999999999,0.1040625,3.46801346801348,NA,NA,NA,NA
22,"COMA_S4",11,3.78809655400501,0.589375436437985,0.632244772250584,0.35481132117435,NA,NA,40,100,30,0.0718749999999999,0.09453125,2.44107744107745,NA,NA,NA,NA
22,"COMA_S4",12,4.12518899067003,0.56848957831518,0.632059264024153,0.366384460211709,NA,NA,40,100,30,0.0640624999999999,0.06609375,0.217028380634401,NA,NA,NA,NA
22,"COMA_S4",13,4.31824326144751,0.472198166690089,0.655382989966058,0.368182435494934,NA,NA,40,100,30,0.08125,0.08640625,0.561224489795916,NA,NA,NA,NA
22,"COMA_S4",14,4.3926111129261,0.452920120062707,0.636895660917122,0.336366909928082,NA,NA,40,100,30,0.10078125,0.0933593749999999,-0.825369244135503,NA,NA,NA,NA
22,"COMA_S4",15,4.71891499393621,0.473873707625781,0.616573676635706,0.288209420204709,NA,NA,40,100,30,0.123437499999999,0.110546875,-1.47058823529405,NA,NA,NA,NA
22,"COMA_S4",16,4.92765814535694,0.496813342261771,0.596884090558789,0.352745023176962,NA,NA,40,100,30,0.132031249999999,0.143828125,1.35913591359141,NA,NA,NA,NA
22,"COMA_S4",17,5.30658814355961,0.394915462548816,0.552629259856337,0.353011162198207,NA,NA,40,100,30,0.126171875,0.123515625,-0.30397854269109,NA,NA,NA,NA
22,"COMA_S4",18,5.61839065978082,0.303590792498688,0.558702882664287,0.317558986874915,NA,NA,40,100,30,0.0929687499999998,0.11626953125,2.56890611541775,NA,NA,NA,NA
22,"COMA_S4",19,5.6346838737883,0.314245309998488,0.579967624503416,0.310302834362775,NA,NA,40,100,30,0.0998046875,0.11013671875,1.14775439357778,NA,NA,NA,NA
22,"COMA_S4",20,5.77344775391269,0.349072127875763,0.571136733600772,0.224647224168285,NA,NA,40,100,30,0.1125,0.11783203125,0.600792253521087,NA,NA,NA,NA
22,"COMA_S4",21,5.99890655490962,0.390762418115689,0.564080835905296,0.477436111835623,0.710099733613015,60,18,55,13,0.130642361111111,0.13044921875,-0.022216674987507,0,0,0,0.0177570303281148
22,"COMA_S4",22,6.32377366072126,0.26700723441908,0.505357678424102,0.53106228577871,0.49257150137939,38,18,49,13,0.139973958333333,0.170390625,3.53671461014384,0,0,0,0.0116418083508809
22,"COMA_S4",23,6.38356980257939,0.253503229795572,0.502699582701189,0.615603504443921,0.526277200374591,38,21,59,8,0.112165178571428,0.125546875,1.50722815839096,0,0,0,0.01091601451238
22,"COMA_S4",24,6.77819342962812,0.276291073758908,0.497546135796242,0.542499566618353,0.345621554089236,41,27,77,15,0.0988859953703705,0.1125830078125,1.52000883037648,0,0,0,0.0111199498176575
22,"COMA_S4",25,6.82706364201279,0.261589601066235,0.519910460747177,0.527832506943439,0.391845094630959,47,23,75,16,0.0940896739130439,0.1278662109375,3.72846362954629,0,0,0,0.0113183220227559
22,"COMA_S4",26,7.02202634605297,0.285179326267808,0.495688846270001,0.435219545619318,0.571364706376992,43,25,73,18,0.113828125,0.13235595703125,2.09077184166445,0,0,0,0.0110918839772542
22,"COMA_S4",27,7.32480824084202,0.29440101022608,0.492329881317868,0.316018392614106,0.575860066331305,45,15,43,12,0.135286458333334,0.170244140625,4.04268935401294,0,0,0,0.0113220850626628
22,"COMA_S4",28,7.50273784467871,0.239995150265104,0.475614047544899,0.386801882889036,0.501057528048656,35,27,82,11,0.129050925925926,0.14631103515625,1.98175872093024,0,0,0,0.0108586589495341
22,"COMA_S4",29,7.59246372848221,0.267458457257962,0.463272153638138,0.409719213331456,0.561207872549662,47,32,84,20,0.12762451171875,0.132542724609375,0.56377247603722,0,0,0,0.015266474088033
22,"COMA_S4",30,7.86457803499537,0.30020766778058,0.479136800703135,0.139175268417171,0.518054028200001,52,25,72,15,0.137050781250001,0.144283447265625,0.838133444990113,0,0,0,0.011500883102417
22,"COMA_S4",31,7.96209566736769,0.299356712224824,0.47310158105302,0.508079472886661,0.297651642386496,45,15,35,8,0.186002604166666,0.162236328125,-2.91969927217464,0,0,0,0.0112110813458761
22,"COMA_S4",32,8.02574495605399,0.266309520800539,0.469389191844163,0.502311766555733,0.482127244743949,35,11,19,7,0.146928267045455,0.19450439453125,5.57703715266936,0,0,0,0.0108854134877523
22,"COMA_S4",33,8.18770121420552,0.250373413517022,0.4658458427671,0.483854586909527,0.639701554019264,31,19,42,8,0.192074424342105,0.18926025390625,-0.348320503848795,0,0,0,0.0106850624084473
22,"COMA_S4",34,8.66196859469528,0.221575606081026,0.43728253913595,0.724833019263866,0.498164104429015,39,24,60,11,0.148503621419271,0.184467468261719,4.22360537838014,0,0,0,0.0110333959261576
22,"COMA_S4",35,8.8545418710002,0.271503692892426,0.443688477857708,0.510433930319129,0.676458206852101,44,25,72,18,0.141528320312501,0.174185791015625,3.80414071609358,0,0,0,0.0112045407295227
22,"COMA_S4",36,8.989304534954,0.322108593812129,0.446002408289279,0.520517628981924,0.643559355084374,45,23,62,18,0.145295516304347,0.171223297119141,3.03353747516148,0,0,0,0.011294154326121
22,"COMA_S4",37,9.02243920012821,0.310460274137859,0.442369500317482,0.479274862094486,0.7196575313252,43,23,56,15,0.177628226902174,0.206178741455078,3.4717284185662,0,0,0,0.0111555298169454
22,"COMA_S4",38,9.23299585991009,0.250737486808271,0.428846220994835,0.616308634336505,0.626148028990516,43,23,61,15,0.17287013841712,0.188148040771484,1.84709838974103,0,0,0,0.0111606240272522
22,"COMA_S4",39,9.42095185213074,0.267441359734531,0.427900957186487,0.692808910904268,0.657865809906068,43,23,56,13,0.179927660071332,0.199080352783203,2.3354881977287,0,0,0,0.011236043771108
22,"COMA_S4",40,9.63212041760825,0.304471351656058,0.41632926985122,0.613271767212859,0.677489949659189,43,35,81,21,0.165774100167412,0.166977005004883,0.144194137069227,0,0,0,0.0112390756607056
22,"COMA_S4",41,9.44046354569848,0.386125105195058,0.432512144504605,0.604285112863881,0.675217873632985,55,41,87,29,0.176537490472562,0.164882354736328,-1.41538146562638,0,0,0,0.0118688742319743
22,"COMA_S4",42,9.48307566342379,0.369761932631829,0.429853585364323,0.657322383694954,0.662133121772017,61,33,76,27,0.168700247099905,0.186363372802734,2.12476012908811,0,0,0,0.0121635953585307
22,"COMA_S4",43,9.90930749328914,0.338281397347009,0.417558440392649,0.633129968989816,0.756914562907201,53,31,84,21,0.181323635962701,0.184857635498047,0.431672354374307,0,0,0,0.0117012818654378
22,"COMA_S4",44,9.88074714184625,0.370782590146173,0.417304224797488,0.691783818531785,0.808827375346792,51,30,78,16,0.190007019042968,0.199376316070556,1.15671336022175,0,0,0,0.0116144458452861
22,"COMA_S4",45,10.4217145000543,0.346290119402875,0.402927217134731,0.650051351208444,0.766401787518972,50,37,85,21,0.185251803011506,0.184812679290771,-0.0538968631484492,0,0,0,0.0115008274714152
22,"COMA_S4",46,10.3639762762758,0.433644090348734,0.408348228242559,0.714192975810808,0.744042817733571,57,36,87,22,0.179540210300021,0.19741174697876,2.17823431484358,0,0,0,0.0119961460431417
22,"COMA_S4",47,10.3790290115861,0.34642713158059,0.415829103215076,0.656707742275298,0.771721534359768,56,41,86,28,0.180850703541825,0.182172060012817,0.161308381354348,0,0,0,0.0117716272672017
22,"COMA_S4",48,10.3576922038423,0.479794203810731,0.416493921156702,0.613285266067942,0.776733175476851,61,41,89,33,0.183865989126809,0.194530372619628,1.30669514451547,0,0,0,0.0125840147336324
22,"COMA_S4",49,10.5218384032525,0.426970551474122,0.405544592959781,0.485189049085436,0.700443565117091,61,28,73,17,0.19825233731951,0.21727765083313,2.37298022797005,0,0,0,0.0119795163472493
22,"COMA_S4",50,11.0057476281799,0.647098645253495,0.385778191210348,0.584943119990655,0.786387262914315,48,34,80,21,0.189329147338866,0.201956491470337,1.55764131521681,0,0,0,0.0116165280342102
