"rep","scenario","year","meanG_S1","varG_S1","genicVarA_S1","accuracy_S2","accuracy_cand","nCandidates","nParentsUsed","nCrossesUsed","nKept","Ft0","Ft1","dF1","propParents_S2","propCrosses_S2","propProgeny_S2","time"
19,"COMA_S4",1,0.00340426849704875,1.1246848278734,1.09486309880972,0.471754340567324,NA,NA,40,100,30,0,0.01125,1.125,NA,NA,NA,NA
19,"COMA_S4",2,0.869399229537265,1.94144622405158,1.10148681899728,0.456964122283315,NA,NA,40,100,30,0,0.01375,1.375,NA,NA,NA,NA
19,"COMA_S4",3,1.51786985424501,1.60118702591562,1.06341741127884,0.438567064275478,NA,NA,40,100,30,0,0.04125,4.125,NA,NA,NA,NA
19,"COMA_S4",4,2.18672878627059,1.35869533843423,1.0251256598955,0.545296928187488,NA,NA,40,100,30,0,0.0525,5.25,NA,NA,NA,NA
19,"COMA_S4",5,2.83729345880166,0.826459185310125,1.00643231713436,0.524166840199343,NA,NA,40,100,30,0,0.04875,4.875,NA,NA,NA,NA
19,"COMA_S4",6,2.67861515074647,0.761568117651431,1.01339681781644,0.437257847210944,NA,NA,40,100,30,0.0249999999999999,0.0559375,3.17307692307693,NA,NA,NA,NA
19,"COMA_S4",7,3.23967003598734,1.15052830105448,1.00954480370287,0.366203579952515,NA,NA,40,100,30,0.0406249999999999,0.0703125,3.09446254071662,NA,NA,NA,NA
19,"COMA_S4",8,3.6895651829966,1.21471460203253,0.99079266469073,0.408674887592116,NA,NA,40,100,30,0.0625,0.0971875,3.7,NA,NA,NA,NA
19,"COMA_S4",9,4.19190420318068,1.04424044309249,0.950970495926349,0.412926028417367,NA,NA,40,100,30,0.08125,0.12125,4.35374149659863,NA,NA,NA,NA
19,"COMA_S4",10,4.80520294674914,0.591727862123285,0.909544262714308,0.434217159579465,NA,NA,40,100,30,0.0687500000000001,0.100625,3.4228187919463,NA,NA,NA,NA
19,"COMA_S4",11,4.79355181111446,0.658947539563017,0.958285732948955,0.405844815563673,NA,NA,40,100,30,0.0859374999999998,0.0974218749999999,1.25641025641027,NA,NA,NA,NA
19,"COMA_S4",12,5.08623016410071,0.727390414789029,0.93312340845942,0.361318983035831,NA,NA,40,100,30,0.103125,0.112578125,1.05400696864114,NA,NA,NA,NA
19,"COMA_S4",13,5.71687202998788,0.875530995860046,0.929850615960562,0.339846088345394,NA,NA,40,100,30,0.1140625,0.113125,-0.10582010582008,NA,NA,NA,NA
19,"COMA_S4",14,6.03139280551667,1.04886329542884,0.927931800300866,0.355021554167812,NA,NA,40,100,30,0.126562499999999,0.142890625,1.86940966010738,NA,NA,NA,NA
19,"COMA_S4",15,6.48797141167191,0.636859456492622,0.85704565136121,0.422636106973544,NA,NA,40,100,30,0.125,0.125234375,0.026785714285747,NA,NA,NA,NA
19,"COMA_S4",16,6.73285324816251,0.6044235175798,0.865026204620942,0.426409301821023,NA,NA,40,100,30,0.1125,0.1126953125,0.0220070422535371,NA,NA,NA,NA
19,"COMA_S4",17,6.83690772229153,0.616953712125452,0.871456783784261,0.330830944101698,NA,NA,40,100,30,0.1154296875,0.125546875,1.14374034003094,NA,NA,NA,NA
19,"COMA_S4",18,7.29098719602644,0.750761568633076,0.879965477571342,0.368389364255092,NA,NA,40,100,30,0.1255859375,0.1225,-0.352914898369421,NA,NA,NA,NA
19,"COMA_S4",19,7.61255122796224,0.784881208121681,0.875242002549865,0.331519081253554,NA,NA,40,100,30,0.1279296875,0.13658203125,0.992161254199355,NA,NA,NA,NA
19,"COMA_S4",20,7.96048608428722,0.604700327764836,0.850237769449533,0.401377462846896,NA,NA,40,100,30,0.127734375,0.1359375,0.940438871473393,NA,NA,NA,NA
19,"COMA_S4",21,8.2909620795229,0.567010918146349,0.850733438108334,0.725184674805474,0.764631567757621,60,21,61,16,0.0955171130952381,0.1230712890625,3.04640102827763,0,0,0,0.0179436127344767
19,"COMA_S4",22,8.67868200222097,0.59233934724994,0.843896318236216,0.67292491435947,0.723725952910631,41,23,65,13,0.123046875,0.1380078125,1.70601336302894,0,0,0,0.0117673357327779
19,"COMA_S4",23,9.12919957703465,0.615757915736232,0.826861645240319,0.665145894223666,0.674774292953588,43,25,75,14,0.117578125,0.142587890625,2.83421868083225,0,0,0,0.0117886304855347
19,"COMA_S4",24,9.28811651575007,0.652843521641646,0.828138905540306,0.683197335744816,0.641244432550626,45,25,73,16,0.1246875,0.1392822265625,1.66737325955018,0,0,0,0.0113725026448568
19,"COMA_S4",25,9.40733368058884,0.657028695706383,0.817085077112594,0.627140132660761,0.58702267758288,45,34,81,23,0.116727941176471,0.137666015625,2.37051248699272,0,0,0,0.0114505211512248
19,"COMA_S4",26,9.41499924476796,0.672958547728459,0.8396881112199,0.581089108960329,0.748483887581906,54,36,84,26,0.119466145833333,0.12701416015625,0.857208872458465,0,0,0,0.0120953957239787
19,"COMA_S4",27,9.64792095804462,0.720107438966191,0.820246044590251,0.646406080117621,0.818547174630394,56,29,80,17,0.130825700431034,0.14031982421875,1.0923152919298,0,0,0,0.0117889801661174
19,"COMA_S4",28,10.424331514962,0.64688583228522,0.80847287268387,0.700462786772607,0.835206401877709,49,36,86,23,0.138983832465278,0.137132568359375,-0.215009215355798,0,0,0,0.01141490538915
19,"COMA_S4",29,10.747631762496,0.569573501011929,0.800762282001703,0.627910545023441,0.745078310502541,56,32,84,22,0.144195556640625,0.1474462890625,0.379845237670722,0,0,0,0.0115883072217305
19,"COMA_S4",30,10.8265153348978,0.508419216851277,0.790272536027729,0.664673551512783,0.732088688274317,52,32,88,23,0.142807006835937,0.156168212890625,1.55871620058033,0,0,0,0.0114666064580282
19,"COMA_S4",31,11.0671489334771,0.540362415576928,0.779385725424708,0.701018215523653,0.814343113380293,52,35,86,23,0.143212890625001,0.148854370117188,0.658445888185978,0,0,0,0.011537512143453
19,"COMA_S4",32,11.215466566426,0.646648050762907,0.769495151143439,0.664687830932313,0.848590691587263,55,30,70,16,0.163859049479168,0.162882080078125,-0.116842668743071,0,0,0,0.0117744286855062
19,"COMA_S4",33,11.8752087880674,0.622118931951061,0.724600231117194,0.678456789731729,0.827203177109293,50,29,78,16,0.150744207974138,0.174318237304688,2.77584557584408,0,0,0,0.0113954146703084
19,"COMA_S4",34,12.1783715727363,0.529654411398761,0.713141252175246,0.709402750392297,0.675800920401224,49,35,90,21,0.148109654017857,0.154911804199219,0.798477199963949,0,0,0,0.0215507388114929
19,"COMA_S4",35,12.1972679653375,0.479319067853019,0.734114750148953,0.746534861028298,0.789702054176435,55,29,81,21,0.152070144127156,0.170403747558594,2.16216038443014,0,0,0,0.0116690635681152
19,"COMA_S4",36,12.6416202876124,0.390363219087295,0.700443763468559,0.69430820627865,0.7381442500888,49,36,86,24,0.144768608940972,0.163146820068359,2.14891681006114,0,0,0,0.0211245775222778
