"rep","scenario","year","meanG_S1","varG_S1","genicVarA_S1","accuracy_S2","accuracy_cand","nCandidates","nParentsUsed","nCrossesUsed","nKept","Ft0","Ft1","dF1","propParents_S2","propCrosses_S2","propProgeny_S2","time"
7,"COMA_S4",1,0.0789536672668213,0.955786859270714,0.962611169739854,0.408223968016011,NA,NA,40,100,30,0,0.0125,1.25,NA,NA,NA,NA
7,"COMA_S4",2,0.460764585134925,1.52773671306461,0.969093236408386,0.438799867056605,NA,NA,40,100,30,0,0.025,2.5,NA,NA,NA,NA
7,"COMA_S4",3,1.22206440634412,1.37420473078717,0.966194908029663,0.448197440534381,NA,NA,40,100,30,0,0.0275,2.75,NA,NA,NA,NA
7,"COMA_S4",4,1.72797282056875,1.19118304232232,0.958311101490062,0.487294054254808,NA,NA,40,100,30,0,0.03,3,NA,NA,NA,NA
7,"COMA_S4",5,2.3070808212806,0.614952371460333,0.940425370131878,0.439639969057199,NA,NA,40,100,30,0,0.04375,4.375,NA,NA,NA,NA
7,"COMA_S4",6,2.42592372677144,0.687559677357204,0.940416504386816,0.408411626131773,NA,NA,40,100,30,0.00625000000000009,0.0165625,1.0377358490566,NA,NA,NA,NA
7,"COMA_S4",7,2.64357260047201,0.689444624675093,0.942433077879958,0.346063370283214,NA,NA,40,100,30,0.0218750000000001,0.05,2.87539936102236,NA,NA,NA,NA
7,"COMA_S4",8,3.02130416482213,0.767762501493248,0.923614392077251,0.348143149053289,NA,NA,40,100,30,0.028125,0.0590625,3.18327974276528,NA,NA,NA,NA
7,"COMA_S4",9,3.50842254006814,0.660607844854777,0.929318087890619,0.367004242436811,NA,NA,40,100,30,0.0375000000000001,0.0628125,2.62987012987012,NA,NA,NA,NA
7,"COMA_S4",10,3.73413781495453,0.59903183159222,0.913838002349885,0.425511450726487,NA,NA,40,100,30,0.04375,0.055625,1.24183006535948,NA,NA,NA,NA
7,"COMA_S4",11,3.96795448921395,0.573561016446936,0.915075672116922,0.365608262235377,NA,NA,40,100,30,0.03515625,0.041875,0.696356275303644,NA,NA,NA,NA
7,"COMA_S4",12,4.07557770488223,0.543599715629671,0.930330555557,0.393148207519078,NA,NA,40,100,30,0.0390625,0.0534375,1.49593495934959,NA,NA,NA,NA
7,"COMA_S4",13,4.35781103369408,0.618524904005648,0.89988563867606,0.380613706733921,NA,NA,40,100,30,0.05078125,0.059453125,0.91358024691358,NA,NA,NA,NA
7,"COMA_S4",14,4.55016445011411,0.66333567683664,0.906461912873761,0.332439300112875,NA,NA,40,100,30,0.05078125,0.06140625,1.11934156378601,NA,NA,NA,NA
7,"COMA_S4",15,5.05752482127843,0.701759068732684,0.909680440314133,0.338231069906877,NA,NA,40,100,30,0.0523437499999999,0.0546875,0.247320692497944,NA,NA,NA,NA
7,"COMA_S4",16,5.31413734215392,0.60237082266443,0.910414294212139,0.356592651810497,NA,NA,40,100,30,0.05,0.05134765625,0.141858552631573,NA,NA,NA,NA
