"rep","scenario","year","meanG_S1","varG_S1","genicVarA_S1","accuracy_S2","accuracy_cand","nCandidates","nParentsUsed","nCrossesUsed","nKept","Ft0","Ft1","dF1","propParents_S2","propCrosses_S2","propProgeny_S2","time"
26,"COMA_S4",1,-0.112402304557823,0.871271384972967,0.697136678931995,0.37910763008654,NA,NA,40,100,30,0,0.01,1,NA,NA,NA,NA
26,"COMA_S4",2,0.666853210446286,0.97816935636187,0.684134264385109,0.406595670785331,NA,NA,40,100,30,0,0.025,2.5,NA,NA,NA,NA
26,"COMA_S4",3,1.19884295817531,1.22105105177513,0.687476755978124,0.385484424183844,NA,NA,40,100,30,0,0.025,2.5,NA,NA,NA,NA
26,"COMA_S4",4,1.88793178753543,0.744653927533916,0.674680441162108,0.366624288892577,NA,NA,40,100,30,0,0.04,4,NA,NA,NA,NA
26,"COMA_S4",5,2.2773561536905,0.49349263991467,0.664479856328073,0.431810005517286,NA,NA,40,100,30,0,0.0425,4.25,NA,NA,NA,NA
26,"COMA_S4",6,2.21547573825046,0.48240926990283,0.651372881983181,0.356030273669824,NA,NA,40,100,30,0.0125,0.03125,1.89873417721519,NA,NA,NA,NA
26,"COMA_S4",7,2.41623302609934,0.497619391877902,0.653242101542277,0.315660660617595,NA,NA,40,100,30,0.03125,0.039375,0.838709677419355,NA,NA,NA,NA
26,"COMA_S4",8,2.62797877526196,0.610364461089952,0.646719247040143,0.307048909434635,NA,NA,40,100,30,0.04375,0.045625,0.196078431372554,NA,NA,NA,NA
26,"COMA_S4",9,3.0813971847306,0.579869033304016,0.647131612890494,0.315194832005146,NA,NA,40,100,30,0.065625,0.0590625,-0.702341137123747,NA,NA,NA,NA
26,"COMA_S4",10,3.53110776238094,0.442918506819729,0.640832224459151,0.348788290464465,NA,NA,40,100,30,0.059375,0.0721875,1.36212624584718,NA,NA,NA,NA
26,"COMA_S4",11,3.67117307254919,0.410647055615171,0.639352178814035,0.300115276157491,NA,NA,40,100,30,0.046875,0.0634375,1.73770491803279,NA,NA,NA,NA
26,"COMA_S4",12,3.74783119305125,0.442736862934381,0.637739591761105,0.318125049759864,NA,NA,40,100,30,0.046875,0.0675,2.16393442622951,NA,NA,NA,NA
26,"COMA_S4",13,3.82205235741975,0.43533063564731,0.637454497548091,0.311723618424376,NA,NA,40,100,30,0.0421875,0.073046875,3.22185970636215,NA,NA,NA,NA
26,"COMA_S4",14,4.21224618331604,0.590509396154224,0.640939579310567,0.290710674455266,NA,NA,40,100,30,0.05390625,0.065078125,1.18084227910817,NA,NA,NA,NA
26,"COMA_S4",15,4.4678257642699,0.511879629586488,0.627569137331256,0.351810999924196,NA,NA,40,100,30,0.0648437499999996,0.0742968749999999,1.01086048454473,NA,NA,NA,NA
26,"COMA_S4",16,4.76883984717651,0.475009936974323,0.627579853555949,0.301171177781559,NA,NA,40,100,30,0.0695312499999998,0.0799218749999999,1.11670864819481,NA,NA,NA,NA
26,"COMA_S4",17,4.94125825751308,0.385017209543829,0.617081030098733,0.372015759285371,NA,NA,40,100,30,0.0632812499999997,0.0730078125,1.03836530442037,NA,NA,NA,NA
26,"COMA_S4",18,4.96700316670664,0.389532657534835,0.624210231713049,0.32120521230344,NA,NA,40,100,30,0.069140625,0.0826171875,1.44775493075955,NA,NA,NA,NA
26,"COMA_S4",19,5.16650472427841,0.451875941497389,0.619747948060851,0.282238641310483,NA,NA,40,100,30,0.0697265624999996,0.0882226562499999,1.98824270417806,NA,NA,NA,NA
26,"COMA_S4",20,5.32028945470286,0.473401742251241,0.616278009858216,0.311872848775147,NA,NA,40,100,30,0.080859375,0.089609375,0.951976200594989,NA,NA,NA,NA
26,"COMA_S4",21,5.7055409187627,0.481744547029636,0.603828320053977,0.624582900192295,0.741323095593236,60,26,78,16,0.0778245192307692,0.096044921875,1.97580645161291,0,0,0,0.017672324180603
26,"COMA_S4",22,6.10309482543127,0.439102275506501,0.583700373414896,0.670894669739409,0.57994763918798,46,34,84,23,0.0738166360294115,0.0820947265624999,0.893785275693135,0,0,0,0.0217438181241353
26,"COMA_S4",23,6.10682519414297,0.475388632544407,0.591271239431939,0.665227058895772,0.574919223420358,54,35,82,23,0.0900669642857137,0.0939208984374998,0.42354041457137,0,0,0,0.0117888927459717
26,"COMA_S4",24,6.39209403086333,0.442885017057634,0.577918209944186,0.572946190097431,0.55431983810992,55,26,75,16,0.0809044471153844,0.118349609375,4.07413158970169,0,0,0,0.0121417284011841
26,"COMA_S4",25,6.6649797684387,0.396630520873964,0.559413836601198,0.691245192044969,0.698391496214472,46,32,82,19,0.08734130859375,0.1071728515625,2.17294188457166,0,0,0,0.0117050449053446
26,"COMA_S4",26,6.81179241194217,0.478422378771889,0.570198890142286,0.636636384908296,0.707045097974458,52,32,79,21,0.103912353515625,0.10864501953125,0.52814766883495,0,0,0,0.0116291960080465
26,"COMA_S4",27,7.2812650769648,0.469872406066671,0.540846360797605,0.607845367619829,0.747567738871588,52,31,85,18,0.115643901209677,0.104757080078125,-1.23104495422647,0,0,0,0.0116165995597839
26,"COMA_S4",28,7.30283404598646,0.445599495643808,0.540185546196123,0.643271027259479,0.750092086488515,51,27,80,17,0.118001302083333,0.11273193359375,-0.597434951097961,0,0,0,0.0115965008735657
26,"COMA_S4",29,7.69725224488331,0.39579709802422,0.524720382982637,0.729760624662816,0.722809685553259,47,27,75,19,0.116301359953703,0.128984375,1.43521948224704,0,0,0,0.0113667488098145
26,"COMA_S4",30,7.93913093123286,0.450885778163131,0.518309090084565,0.694864207852114,0.719492460551942,47,25,73,14,0.126249999999999,0.14457275390625,2.09702476752509,0,0,0,0.011818011601766
26,"COMA_S4",31,8.21062409042039,0.36406335943704,0.509875211932942,0.641441285771194,0.678297297069462,45,26,73,17,0.123131385216346,0.14803955078125,2.84058126211409,0,0,0,0.0117202242215474
26,"COMA_S4",32,8.41787040132038,0.351610365317562,0.492846238154028,0.509638475567811,0.52821892697299,46,31,82,24,0.124759797127016,0.132496643066406,0.883968299672924,0,0,0,0.0115525325139364
26,"COMA_S4",33,8.2208576199647,0.419020503231674,0.502725055839043,0.622683954551677,0.736578492083909,51,34,86,20,0.108779009650735,0.139511413574218,3.44834830600657,0,0,0,0.0121928095817566
