"id","mother","father"
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",NA,NA
"12783","20","35"
"9916","16","20"
"12698","20","35"
"12036","19","25"
"4597","8","19"
"11572","18","35"
"12701","20","35"
"10859","17","30"
"12685","20","35"
"667","1","19"
"32696","18","19"
"31184","13","35"
"30531","12","19"
"37835","27","33"
"30446","12","19"
"32669","18","19"
"34593","20","35"
"38416","28","39"
"33014","18","21"
"29124","11","20"
"46346","6","19"
"46273","6","19"
"44499","4","29"
"53509","17","35"
"53506","17","35"
"46408","6","19"
"57971","28","35"
"55059","21","30"
"46419","6","19"
"44918","5","13"
"73740","19","32"
"68841","12","35"
"73312","19","27"
"67553","11","19"
"73559","19","28"
"67555","11","19"
"73268","19","27"
"67538","11","19"
"68872","12","35"
"63726","5","19"
"95662","20","27"
"90700","12","19"
"97685","27","29"
"90838","12","19"
"95570","20","23"
"94666","18","21"
"98183","28","35"
"95788","20","27"
"95359","19","26"
"84285","4","17"
"119104","12783","4597"
"119218","12783","4597"
"119136","12783","4597"
"119484","12036","4597"
"119878","10859","667"
"108211","19","12783"
"119300","9916","10859"
"119871","10859","667"
"119245","9916","10859"
"108616","19","12701"
"136530","12783","12036"
"136575","12783","12036"
"136680","9916","12698"
"138635","10859","31184"
"133622","35","32696"
"139077","32696","29124"
"136527","12783","12036"
"138232","12701","32696"
"136499","12783","12036"
"139205","32696","29124"
"151892","9916","31184"
"151642","9916","32696"
"157189","32696","46346"
"152807","9916","46408"
"154352","11572","46346"
"156747","32696","31184"
"158088","32669","46346"
"159066","33014","57971"
"152496","9916","53509"
"159025","33014","46273"
"177389","46346","67553"
"170459","30531","34593"
"172715","30446","67555"
"172769","30446","67555"
"179618","68841","67555"
"168763","667","38416"
"178863","46419","67555"
"179288","73740","68841"
"179532","68841","67555"
"179351","73740","68841"
"198407","95662","90700"
"189094","46273","68841"
"193040","57971","67538"
"186200","33014","29124"
"195215","73740","94666"
"196384","73312","84285"
"195178","73740","94666"
"196863","73559","67555"
"188084","46346","97685"
"184583","32669","73312"
"217691","119104","119300"
"218423","119136","119878"
"218172","119218","108211"
"215274","97685","119104"
"211992","67555","119871"
"219811","108211","119245"
"216670","98183","108616"
"210106","73312","108616"
"219819","108211","119245"
"218675","119484","119245"
"239522","138635","133622"
"238670","108616","136530"
"239836","139077","136499"
"236485","108211","119871"
"226612","67555","108211"
"222558","67553","67555"
"239622","138635","133622"
"239281","136575","138635"
"239365","136575","138635"
"222241","73312","138635"
"248633","119104","133622"
"251042","119484","156747"
"248270","119104","119136"
"259385","157189","156747"
"248717","119104","157189"
"254506","108616","156747"
"252681","108211","151892"
"248784","119104","157189"
"251715","119878","151892"
"254649","136575","136527"
"275534","157189","156747"
"260267","119104","157189"
"262894","119136","179618"
"262960","119136","179618"
"266611","108211","136530"
"276208","157189","179618"
"275474","157189","156747"
"260374","119104","157189"
"279720","178863","179288"
"266618","108211","136530"
"290213","151892","172715"
"289844","151892","158088"
"284133","138635","179618"
"280454","136530","179618"
"292936","154352","158088"
"290180","151892","172715"
"294389","158088","196863"
"281315","136575","151892"
"280475","136530","179618"
"298377","172769","179618"
"313747","179532","219811"
"313080","179288","219819"
"303254","152807","172715"
"319264","218423","211992"
"317051","196384","218172"
"314853","198407","218172"
"300688","151892","177389"
"317158","196384","218172"
"319398","218423","211992"
"302178","151642","215274"
"335367","218423","236485"
"335473","218423","239622"
"335922","218172","239836"
"336210","215274","210106"
"329964","195215","218172"
"321869","179618","218675"
"336024","218172","239836"
"336449","211992","219819"
"335381","218423","236485"
"338829","239522","236485"
"350916","215274","239836"
"359485","251042","254506"
"359242","248633","254506"
"352909","219811","252681"
"356453","236485","252681"
"356347","239836","254649"
"359424","248633","254506"
"359898","259385","248717"
"359663","248270","248717"
"359452","251042","254506"
"375878","251042","275534"
"367117","219819","266611"
"368663","239522","254649"
"362034","218172","254506"
"379620","276208","275474"
"379080","260267","279720"
"376781","248270","275474"
"378024","252681","275474"
"361007","217691","259385"
"379394","266611","260374"
"395345","275534","290213"
"395330","275534","290213"
"399330","289844","284133"
"389805","248633","280454"
"389097","248633","275534"
"396673","266611","280454"
"397440","276208","289844"
"393755","252681","280454"
"395424","275534","290213"
"394042","251715","275534"
"443303","280454","319398"
"453278","319398","356347"
"449784","313080","359452"
"458220","350916","359898"
"453485","319398","359424"
"449323","313080","303254"
"456069","329964","350916"
"456716","321869","359242"
"450639","303254","359898"
"443362","280454","319398"
"458134","350916","359898"
"440874","290213","329964"
"456203","329964","350916"
"458230","350916","359898"
"441540","290213","359424"
"457175","336024","359242"
"447358","280475","321869"
"459409","356453","359898"
"451348","317051","329964"
"441967","289844","335922"
"443369","280454","319398"
"454434","335367","335381"
"445431","290180","335473"
"456851","321869","352909"
"447116","280475","335922"
"453229","319398","335473"
"443849","280454","335381"
"441286","290213","352909"
"468146","319398","379620"
"472602","336024","368663"
"480033","379080","361007"
"467467","317158","379394"
"468365","319398","378024"
"465461","314853","350916"
"476966","356453","375878"
"471347","329964","350916"
"470864","336210","359452"
"465722","314853","375878"
"462239","313080","367117"
"479869","379080","361007"
"476398","352909","361007"
"469644","335922","359242"
"469369","335367","359424"
"471486","321869","335381"
"467886","319398","359452"
"463123","303254","378024"
"462425","313080","379620"
"499185","399330","389097"
"497679","379620","395424"
"499283","399330","394042"
"499539","389805","393755"
"488240","350916","394042"
"497655","379620","395424"
"497192","368663","395424"
"491346","359242","397440"
"487724","350916","379394"
"498591","361007","395424"
"499840","389097","394042"
"484666","321869","350916"
"497236","368663","395424"
"484199","329964","396673"
"515299","453229","445431"
"506107","457175","443303"
"505831","454434","399330"
"510449","443849","443362"
"507317","458220","456069"
"504869","443362","399330"
"506087","457175","443303"
"509087","453278","443362"
"516149","453278","453229"
"510457","443849","443362"
"518397","451348","443849"
"507677","458134","456716"
"506247","453229","443303"
"519593","450639","441286"
